file_name,class,width,height,aspect_ratio,file_size_kb,mean_intensity,std_intensity,skewness,kurtosis,entropy,edge_density,laplacian_var,mean_r,mean_g,mean_b,error
DPP0012.TIF,Canon_60D,480.0,270.0,1.778,238.72,115.127,52.972,-0.336,-1.033,5.191,0.141,749.145,116.62,114.28,115.64,
DPP0012_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0022.TIF,Canon_60D,480.0,270.0,1.778,196.99,110.162,29.505,-1.342,0.874,4.25,0.034,54.315,131.09,101.02,102.3,
DPP0022_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0033.TIF,Canon_60D,480.0,270.0,1.778,263.56,108.92,44.39,0.184,-0.999,5.079,0.164,874.616,107.8,109.96,106.54,
DPP0033_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0086.TIF,Canon_60D,480.0,270.0,1.778,241.16,132.575,61.182,0.376,-0.969,5.248,0.132,868.12,133.82,133.22,126.01,
DPP0086_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0093.TIF,Canon_60D,480.0,270.0,1.778,239.85,126.647,35.487,-0.21,-1.051,4.758,0.079,406.519,127.84,128.06,116.2,
DPP0093_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0100.TIF,Canon_60D,480.0,270.0,1.778,220.54,119.587,41.133,0.303,-0.586,5.002,0.075,473.341,117.98,121.5,113.97,
DPP0100_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0122.TIF,Canon_60D,480.0,270.0,1.778,340.68,114.071,59.555,0.315,-1.197,5.298,0.209,1697.103,116.6,117.16,91.5,
DPP0122_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
